gi_1183032_dbj_D63821_1_HPCJK049E1_Hepatitis_C_virus_(isolate_JK049)_genomic_RNA__complete_genome,,,,,,,
gi_379772030_gb_JF735122_1__Hepatitis_C_virus_isolate_QC105__complete_genome,,Canada,Homo sapiens,serum from a patient infected with HCV,3k,,
gi_395147252_gb_JX227954_1__Hepatitis_C_virus_subtype_3g_isolate_HCV-3g/GB/BID-G1243__complete_genome,,United Kingdom,Homo sapiens,plasma,,,
gi_379772032_gb_JF735123_1__Hepatitis_C_virus_isolate_QC260__complete_genome,,Canada,Homo sapiens,serum from a patient infected with HCV,3g,,
gi_379772036_gb_JF735125_1__Hepatitis_C_virus_isolate_QC268__complete_genome,,Canada,Homo sapiens,serum from a patient infected with HCV,3i,,
gi_395147254_gb_JX227955_1__Hepatitis_C_virus_subtype_3i_isolate_HCV-3i/GB/BID-G1244__complete_genome,,United Kingdom,Homo sapiens,plasma,,,
gi_237510832_gb_FJ407092_1__Hepatitis_C_virus_isolate_IND-HCV-3i__complete_genome,02-Jun-2002,India,Homo sapiens,serum,,3i,
gi_676877_dbj_D49374_1_HPCFG_Hepatitis_C_virus_(isolate_Tr_Kj)_genomic_RNA__complete_genome,,,,,,,
gi_669687808_gb_KJ470617_1__Hepatitis_C_virus_isolate_QC88__complete_genome,,Canada,Homo sapiens,,3b,,
gi_669687806_gb_KJ470616_1__Hepatitis_C_virus_isolate_QC34__complete_genome,,Canada,Homo sapiens,,3b,,
gi_669687810_gb_KJ470618_1__Hepatitis_C_virus_isolate_NE145__complete_genome,,Nepal,Homo sapiens,,3e,,
gi_669687812_gb_KJ470619_1__Hepatitis_C_virus_isolate_NE274__complete_genome,,Nepal,Homo sapiens,,3d,,
gi_384235375_gb_JQ717259_1__Hepatitis_C_virus_subtype_3a_isolate_ILBSRAS8__complete_genome,09-Dec-2010,India,Homo sapiens,plasma,3,3a,
gi_384235371_gb_JQ717257_1__Hepatitis_C_virus_subtype_3a_isolate_ILBSRAS6__complete_genome,03-Mar-2011,India,Homo sapiens,plasma,3,3a,
gi_384235367_gb_JQ717255_1__Hepatitis_C_virus_subtype_3a_isolate_RASILBS4__complete_genome,10-Dec-2010,India,Homo sapiens,plasma,3,3a,
gi_384235373_gb_JQ717258_1__Hepatitis_C_virus_subtype_3a_isolate_ILBSRAS7__complete_genome,14-Feb-2011,India,Homo sapiens,plasma,3,3a,
gi_384235369_gb_JQ717256_1__Hepatitis_C_virus_subtype_3a_isolate_RASILBS5__complete_genome,07-Apr-2011,India,Homo sapiens,plasma,3,3a,
gi_384235377_gb_JQ717260_1__Hepatitis_C_virus_subtype_3a_isolate_ILBSRAS9__complete_genome,24-Sep-2008,India,Homo sapiens,plasma,3,3a,
gi_291575280_gb_GQ275355_1__Hepatitis_C_virus_subtype_3a__complete_genome,Oct-2003,India,Homo sapiens,,,3a,
gi_359430950_gb_JN588558_1__Hepatitis_C_virus_genotype_3_strain_NCVI/PK1__complete_genome,Dec-2009,Pakistan,Homo sapiens,serum,3,3a,
gi_290465633_gb_GU294484_1__Hepatitis_C_virus_isolate_PK-1__complete_genome,20-Sep-2008,Pakistan,Homo sapiens,serum,3,,
gi_403220373_dbj_AB691596_1__Hepatitis_C_virus_subtype_3a_genomic_RNA__complete_genome__strain__S310/B,,,,,,,genotype: 3a
gi_403220371_dbj_AB691595_1__Hepatitis_C_virus_subtype_3a_genomic_RNA__complete_genome__strain__S310/A,,,,,,,genotype: 3a
gi_528533052_dbj_AB792683_1__Hepatitis_C_virus_subtype_3a_genomic_RNA__complete_genome__strain__HCV-TYMM,Jan-2013,,,,,,
gi_384235365_gb_JQ717254_1__Hepatitis_C_virus_subtype_3a_isolate_RASILBS3__complete_genome,27-Sep-2010,India,Homo sapiens,plasma,3,3a,
gi_669687804_gb_KJ470615_1__Hepatitis_C_virus_isolate_QC10__complete_genome,,Canada,Homo sapiens,,3a,,
gi_558520_dbj_D28917_1_HPCK3A_Hepatitis_C_virus_(isolate_HCV-K3a/650)_genomic_RNA__complete_genome,,,,,,,
gi_669687802_gb_KJ470614_1__Hepatitis_C_virus_isolate_QC09__complete_genome,,Canada,Homo sapiens,,3a,,
gi_514395_dbj_D17763_1_HPCEGS_Hepatitis_C_virus_(isolate_NZL1)_genomic_RNA__complete_genome,,,,,,,
gi_669687798_gb_KJ470612_1__Hepatitis_C_virus_isolate_QC07__complete_genome,,Canada,Homo sapiens,,3a,,
gi_669687800_gb_KJ470613_1__Hepatitis_C_virus_isolate_QC08__complete_genome,,Canada,Homo sapiens,,3a,,
gi_379772034_gb_JF735124_1__Hepatitis_C_virus_isolate_QC115__complete_genome,,Canada,Homo sapiens,serum from a patient infected with HCV,3,,
gi_379772038_gb_JF735126_1__Hepatitis_C_virus_isolate_811__complete_genome,,Somalia,Homo sapiens,serum from a refugee infected with HCV,3h,,
gi_379772028_gb_JF735121_1__Hepatitis_C_virus_isolate_QC29__complete_genome,,Canada,Homo sapiens,serum from a patient infected with HCV,3h,,
gi_87294804_gb_DQ278892_1__Hepatitis_C_virus_isolate_GZ52557__complete_genome,,China: Guangzhou,,serum sample from patient with chronic hepatitis,,,unassigned novel subtype of genotype 6
gi_669687820_gb_KJ470623_1__Hepatitis_C_virus_isolate_HK26__complete_genome,,China: Hainan island,,,6 new variant,,
gi_669687824_gb_KJ470625_1__Hepatitis_C_virus_isolate_HK43__complete_genome,,China: Hainan island,,,6 new variant,,
gi_1183030_dbj_D63822_1_HPCJK046E2_Hepatitis_C_virus_(isolate_JK046)_genomic_RNA__complete_genome,,,,,,,
gi_83699532_gb_DQ314806_1__Hepatitis_C_virus_subtype_6g_isolate_HK6554__complete_genome,,Hong Kong: China,,serum of patient with chronic hepatitis,6g,,
gi_669687818_gb_KJ470622_1__Hepatitis_C_virus_isolate_HK25__complete_genome,,China: Hainan island,,,6 new variant,,
